id,movie_name,ranking,award_year,award_name1,award_name2,award_name3,award_name4,award_name5,award_name6,award_name7,release_year,running_time,storyline,user_rating,critic_rating,genre1,genre2,genre3,genre4,genre5,genre6,genre7,imgurl
1,The Hurt Locker,1956,2010,Best Motion Picture of the Year,Best Achievement in Directing,"Best Writing, Original Screenplay",Best Achievement in Film Editing,Best Achievement in Sound Mixing,Best Achievement in Sound Editing,,2008,2h 11min,"An intense portrayal of elite soldiers who have one of the most dangerous jobs in the world: disarming bombs in the heat of combat. When a new sergeant, James, takes over a highly trained bomb disposal team amidst violent conflict, he surprises his two subordinates, Sanborn and Eldridge, by recklessly plunging them into a deadly game of urban combat, behaving as if he's indifferent to death. As the men struggle to control their wild new leader, the city explodes into chaos, and James' true character reveals itself in a way that will change each man forever. —BWR Public Relations",7.5,9.5,Drama,Thriller,War,,,,,"https://m.media-amazon.com/images/M/MV5BYWYxZjU2MmQtMmMzYi00ZWUwLTg2ZWQtMDExZTVlYjM3ZWM1XkEyXkFqcGdeQXVyNzkwMjQ5NzM@._V1_QL75_UX190_CR0,2,190,281_.jpg"
2,Crazy Heart,4544,2010,Best Performance by an Actor in a Leading Role,"Best Achievement in Music Written for Motion Pictures, Original Song",,,,,,2009,1h 52min,"Bad Blake is a broken-down, hard-living country music singer who's had way too many marriages, far too many years on the road and one too many drinks way too many times. And yet, Bad can't help but reach for salvation with the help of Jean, a journalist who discovers the real man behind the musician. —Fox Searclight Pictures",7.2,8.3,Drama,Music,Romance,,,,,"https://m.media-amazon.com/images/M/MV5BMTU0NDc5NjgzNl5BMl5BanBnXkFtZTcwNzc0NDIzMw@@._V1_QL75_UY281_CR0,0,190,281_.jpg"
3,The Blind Side,815,2010,Best Performance by an Actress in a Leading Role,,,,,,,2009,2h 9min,"Based on the true story of Leigh Anne Tuohy and Sean Tuohy who take in a homeless teenage African-American, Michael Oher. Michael has no idea who his father is and his mother is a drug addict. Michael has had little formal education and few skills to help him learn. Leigh Anne soon takes charge however, as is her nature, ensuring that the young man has every opportunity to succeed. When he expresses an interest in football, she goes all out to help him, including giving the coach a few ideas on how best to use Michael's skills. They not only provide him with a loving home, but hire a tutor to help him improve his grades to the point where he would qualify for an NCAA Division I athletic scholarship. Michael Oher was the first-round pick of the Baltimore Ravens in the 2009 NFL draft. —garykmcd",7.6,5.3,Biography,Drama,Sport,,,,,"https://m.media-amazon.com/images/M/MV5BMjEzOTE3ODM3OF5BMl5BanBnXkFtZTcwMzYyODI4Mg@@._V1_QL75_UX190_CR0,1,190,281_.jpg"
4,Inglourious Basterds,183,2010,Best Performance by an Actor in a Supporting Role,,,,,,,2009,2h 33min,"In German-occupied France, young Jewish refugee Shosanna Dreyfus witnesses the slaughter of her family by Colonel Hans Landa. Narrowly escaping with her life, she plots her revenge several years later when German war hero Fredrick Zoller takes a rapid interest in her and arranges an illustrious movie premiere at the theater she now runs. With the promise of every major Nazi officer in attendance, the event catches the attention of the ""Basterds"", a group of Jewish-American guerrilla soldiers led by the ruthless Lt. Aldo Raine. As the relentless executioners advance and the conspiring young girl's plans are set in motion, their paths will cross for a fateful evening that will shake the very annals of history. —The Massie Twins",8.3,6.9,Adventure,Drama,War,,,,,"https://m.media-amazon.com/images/M/MV5BOTJiNDEzOWYtMTVjOC00ZjlmLWE0NGMtZmE1OWVmZDQ2OWJhXkEyXkFqcGdeQXVyNTIzOTk5ODM@._V1_QL75_UX190_CR0,0,190,281_.jpg"
5,Precious,4077,2010,Best Performance by an Actress in a Supporting Role,"Best Writing, Adapted Screenplay",,,,,,2009,1h 50min,"In Harlem, 1987. Sixteen year old Claireece Jones - who goes by her middle name Precious - is illiterate and overweight. She is pregnant with her second child, both children fathered by her biological father, who has continually raped her since she was a child, but who she doesn't see otherwise. Her infant daughter, Mongo - such named since she has Down Syndrome - lives with Precious' grandmother. Precious lives with her mother Mary, who abuses Precious both physically and emotionally. Mary does nothing but smoke, watch television and collect welfare through fraud (as she doesn't ever look for a job) and believes that education does nothing for Precious, who she would rather also collect welfare if only to bring money into the household. To escape her life, Precious often daydreams of herself in glamorous situations. Because of her current pregnancy, Precious' principal transfers her into an alternative school. In dealing with the school's sympathetic teacher Miss Blu Rain, Precious begins to believe that she can have a future by learning how to read and write. Despite some devastating news from her mother following the birth of her child, Precious also begins to believe she can escape the grips of her abusive mother, who, up to this point, was Precious' only real support. —Huggo",7.3,7.8,Drama,,,,,,,"https://m.media-amazon.com/images/M/MV5BMTk3NDM4ODMwNl5BMl5BanBnXkFtZTcwMTYyNDIzMw@@._V1_QL75_UX190_CR0,2,190,281_.jpg"
6,Avatar,340,2010,Best Achievement in Cinematography,Best Achievement in Art Direction,Best Achievement in Visual Effects,,,,,2009,2h 42min,"When his brother is killed in a robbery, paraplegic Marine Jake Sully decides to take his place in a mission on the distant world of Pandora. There he learns of greedy corporate figurehead Parker Selfridge's intentions of driving off the native humanoid ""Na'vi"" in order to mine for the precious material scattered throughout their rich woodland. In exchange for the spinal surgery that will fix his legs, Jake gathers knowledge, of the Indigenous Race and their Culture, for the cooperating military unit spearheaded by gung-ho Colonel Quaritch, while simultaneously attempting to infiltrate the Na'vi people with the use of an ""avatar"" identity. While Jake begins to bond with the native tribe and quickly falls in love with the beautiful alien Neytiri, the restless Colonel moves forward with his ruthless extermination tactics, forcing the soldier to take a stand - and fight back in an epic battle for the fate of Pandora. —The Massie Twins",7.8,8.3,Action,Adventure,Fantasy,Sci-Fi,,,,"https://m.media-amazon.com/images/M/MV5BMTYwOTEwNjAzMl5BMl5BanBnXkFtZTcwODc5MTUwMw@@._V1_QL75_UX190_CR0,0,190,281_.jpg"
7,The Young Victoria,1,2010,Best Achievement in Costume Design,,,,,,,2009,1h 45min,"Dominated by her possessive mother and her bullying consort, Conroy, since childhood, teen-aged Victoria refuses to allow them the power of acting as her regent in the last days of her uncle William IV's rule. Her German cousin Albert is encouraged to court her for solely political motives, but, following her accession at age eighteen, finds he is falling for her and is dismayed at her reliance on trusty Prime Minister Melbourne. Victoria is impressed by Albert's philanthropy, which is akin to her own desire to help her subjects. However, her loyalty to Melbourne, perceived as a self-seeker, almost causes a constitutional crisis, and it is Albert who helps restore her self-confidence. She proposes and they marry, Albert proving himself not only a devoted spouse, prepared to take an assassin's bullet for her, but also an agent of much-needed reform, finally endorsed by an admiring Melbourne. —don @ minifie-1",7.3,6.4,Biography,Drama,History,Romance,,,,"https://m.media-amazon.com/images/M/MV5BMTM4MjExMDk3NV5BMl5BanBnXkFtZTcwMTU3OTMwMw@@._V1_QL75_UX190_CR0,6,190,281_.jpg"
8,Up,1186,2010,"Best Achievement in Music Written for Motion Pictures, Original Score",Best Animated Feature Film of the Year,,,,,,2009,1h 36min,"As a boy, Carl Fredricksen wanted to explore South America and find the forbidden Paradise Falls. About 64 years later he gets to begin his journey along with Boy Scout Russell by lifting his house with thousands of balloons. On their journey, they make many new friends including a talking dog, and figure out that someone has evil plans. Carl soon realizes that this evildoer is his childhood idol.",8.2,8.8,Animation,Adventure,Comedy,Drama,Family,,,"https://m.media-amazon.com/images/M/MV5BMTk3NDE2NzI4NF5BMl5BanBnXkFtZTgwNzE1MzEyMTE@._V1_QL75_UX190_CR0,2,190,281_.jpg"
9,Logorama,2,2010,"Best Short Film, Animated",,,,,,,2009,16min,"Somewhere in a vibrant and colourful interpretation of sunny Los Angeles where corporate logos and mascots simply rule, a sexy Esso Girl waitress takes her cigarette break, while at the same time, a murderous, gun-totting Ronald McDonald runs amok on the busy highways. As the clear signs of a vehement seismic activity foretell an ominous future, will the Michelin Man police officers stop the unhinged psychopath before he blows the whole town to smithereens? —Nick Riganas",7.5,0,Animation,Short,Action,Comedy,Crime,,,"https://m.media-amazon.com/images/M/MV5BNzQxNTIyODAxMV5BMl5BanBnXkFtZTgwNzQyMDA3OTE@._V1_QL75_UX190_CR0,0,190,281_.jpg"
10,The New Tenants,3,2010,"Best Short Film, Live Action",,,,,,,2009,21min,"A prying neighbor, a glassy-eyed drug dealer, and a husband brandishing both a weapon and a vendetta make up the welcome wagon. Set amidst the as-yet-unopened boxes and the hopes for a fresh start of two men on what might just be the worst moving day ever. Their new apartment reveals its terrifying history in a film that is by turns funny, frightening, and unexpectedly romantic. —Anonymous",6.9,0,Short,Comedy,Crime,Drama,,,,"https://m.media-amazon.com/images/M/MV5BZGJhNWRiOWQtMjI4OS00ZjcxLTgwMTAtMzQ2ODkxY2JkOTVlXkEyXkFqcGdeQXVyMTkxNjUyNQ@@._V1_QL75_UX190_CR0,0,190,281_.jpg"
11,Music by Prudence,4,2010,"Best Documentary, Short Subjects",,,,,,,2010,33min,,7.1,0,Documentary,Short,Biography,Music,,,,"https://m.media-amazon.com/images/M/MV5BNGNiNWQ5M2MtNGI0OC00MDA2LWI5NzEtMmZiYjVjMDEyOWYzXkEyXkFqcGdeQXVyMjM4NTM5NDY@._V1_QL75_UX190_CR0,0,190,281_.jpg"
12,The Cove,5,2010,"Best Documentary, Features",,,,,,,2009,1h 32min,"Richard O'Barry was the man who captured and trained the dolphins for the television show Flipper (1964). O'Barry's view of cetaceans in captivity changed from that experience when as the last straw he saw that one of the dolphins playing Flipper - her name being Kathy - basically committed suicide in his arms because of the stress of being in captivity. Since that time, he has become one of the leading advocates against cetaceans in captivity and for the preservation of cetaceans in the wild. O'Barry and filmmaker 'Louie Psihoyos (I)' go about trying to expose one of what they see as the most cruel acts against wild dolphins in the world in Taiji, Japan, where dolphins are routinely corralled, either to be sold alive to aquariums and marine parks, or slaughtered for meat. The primary secluded cove where this activity is taking place is heavily guarded. O'Barry and Psihoyos are well known as enemies by the authorities in Taiji, the authorities who will use whatever tactic to expel the two from Japan forever. O'Barry, Psihoyos and their team covertly try to film as a document of conclusive evidence this cruel behavior. They employ among others Hollywood cameramen and deep sea free divers. They also highlight what is considered the dangerous consumption of dolphin meat (due to its high concentration of mercury) which is often sold not as dolphin meat, and the Japanese government's methodical buying off of poorer third world nations for their support of Japan's whaling industry, that support most specifically at the International Whaling Commission. —Huggo",8.4,8.4,Documentary,Biography,Crime,History,,,,"https://m.media-amazon.com/images/M/MV5BMzM3NTRhMTctNTE2MS00YjJmLWE2ZmMtMmY3MWI0ODExMTMzXkEyXkFqcGdeQXVyNTA4NzY1MzY@._V1_QL75_UY281_CR5,0,190,281_.jpg"
